text,author,categories
"I had more energy at 50. On the other hand, at 75, I've probably got a little more wisdom and good judgment than I had at 50 because I've got more experience. But I haven't really changed. I'm still driven by the same philosophy.",Ted Turner,"Wisdom,Good,Experience"
"If we knew what it was we were doing, it would not be called research, would it?",Albert Einstein,"Learning,Doing"
I support gay marriage. I believe they have a right to be as miserable as the rest of us.,Kinky Friedman,"Marriage,Support,Believe,Gay"
If you have the opportunity to play this game of life you need to appreciate every moment. a lot of people don't appreciate the moment until it's passed.,Kanye West,"Life,Opportunity,Moment,People"
"Of course, Third World leaders love you. By ascribing third world ills to First World sins, you absolve them of blame for their countries' failure to advance.",John McCarthy,"Failure,Love,World"
"I have never denied my background or my culture. I have taught my child to embrace her Mexican heritage, to love my first language, Spanish, to learn about Mexican history, music, folk art, food, and even the Mexican candy I grew up with.",Salma Hayek,"Love,Music,Art,History"
"The way I see it, love is an amusement park, and food its souvenir.",Stephanie Klein,"Food,Love,Love Is,Way"
"Often the magical elements in my books are standing in for elements of the real world, the small and magical-in-their-own-right sorts of things that we take for granted and no longer pay attention to, like the bonds of friendship that entwine our own lives with those of other people and places.",Charles de Lint,"Friendship,World,Small,People"
"Of all the things which wisdom provides to make us entirely happy, much the greatest is the possession of friendship.",Epicurus,"Friendship,Wisdom,Happy,Greatest"
"I was never against marriage per se. Before feminism, I didn't think you had any choice. In fact, for a long time I always assumed I would get married. I just didn't see any marriages I wanted to emulate, so I kept putting it off.",Gloria Steinem,"Marriage,Time,Think"
"I'm learning all the time. I'm evolving all the time as a human being. I'm getting better, I hope, in all of the important ways.",Neil Peart,"Learning,Time,Hope,Important"
"It will give them the opportunity to show themselves worthy of the respect and friendship of peace-loving nations, and in time, to take an honorable place among members of the United Nations.",James F. Byrnes,"Friendship,Respect,Time,Opportunity"
"I don't turn to greeting cards for wisdom and advice, but they are a fine reflection of the general drift of the culture.",Susan Orlean,"Wisdom,Culture"
"We should regret our mistakes and learn from them, but never carry them forward into the future with us.",Lucy Maud Montgomery,"Learning,Future,Mistakes"
Most vegetarians look so much like the food they eat that they can be classified as cannibals.,Finley Peter Dunne,"Food,Look,Eat,Most"
Failure is a word unknown to me.,Muhammad Ali Jinnah,"Failure,Me"
Some wisdom you must learn from one who's wise.,Euripides,"Wisdom,Wise,Learn,You"
The difference between chirping out of turn and a faux pas depends on what kind of a bar you're in.,Wilson Mizner,"Wisdom,You,Kind"
For small creatures such as we the vastness is bearable only through love.,Carl Sagan,"Love,Small"
When people say 'marriage' to me... It's always a means to an end. Everyone's so in a rush to define the relationship.,Lady Gaga,"Marriage,Relationship,End,People"
Success makes men rigid and they tend to exalt stability over all the other virtues; tired of the effort of willing they become fanatics about conservatism.,Walter Lippmann,"Success,Effort,Men"
"Virtue comes by nature, learning, and practice, and thanks to virtue, all of the aforesaid may deserve approval.",Apollonius of Tyana,"Learning,Nature"
People think your success is just a matter of having a pretty face. But it's easy to be chewed up and spat out. You've got to stay ahead of the game to be able to stay in it.,Kate Moss,"Success,People,Game,Think"
"Every day is a new opportunity. You can build on yesterday's success or put its failures behind and start over again. That's the way life is, with a new game every day, and that's the way baseball is.",Bob Feller,"Life,Success,Sports,Day"
Food brings people together on many different levels. It's nourishment of the soul and body; it's truly love.,Giada De Laurentiis,"Food,Love,Together,Soul"
"And we want to develop our strategy to partnership and friendship with the United States, which is connected with a very rich history but what is very important for our future.",Aleksander Kwasniewski,"Friendship,History,Future"
"Every kid has a toy that they believe is their best friend, that they believe communicates with them, and they imagine it being alive, their toy horse or car or whatever it is. Stop-motion is the only medium where we literally can make a toy come to life, an actual object.",Henry Selick,"Life,Best"
